"OrphaCode","Name","DisorderType","DisorderGroup","ICD10_Reference","ICD10_MappingRelation"
"742","Prolidase deficiency","Disease","Disorder","E72.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"141037","Fourth branchial cleft anomaly","Morphological anomaly","Disorder","Q18.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"141030","Third branchial cleft anomaly","Morphological anomaly","Disorder","Q18.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"141022","Second branchial cleft anomaly","Morphological anomaly","Disorder","Q18.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1979","Lipodystrophy due to peptidic growth factors deficiency","Disease","Disorder","E88.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"141013","First branchial cleft anomaly","Morphological anomaly","Disorder","Q18.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1571","Knobloch syndrome","Malformation syndrome","Disorder","Q15.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"141007","Orofaciodigital syndrome type 9","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1551","Familial benign copper deficiency","Disease","Disorder","E83.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1568","X-linked intellectual disability-Dandy-Walker malformation-basal ganglia disease-seizures syndrome","Malformation syndrome","Disorder","Q04.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"141000","Orofaciodigital syndrome type 11","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"140997","Orofaciodigital syndrome","Clinical group","Group of disorders",NA,NA
"1569","De Sanctis-Cacchione syndrome","Disease","Disorder",NA,NA
"1499","OBSOLETE: Cortada-Koussef-Matsumoto syndrome","Malformation syndrome","Disorder",NA,NA
"140432","OBSOLETE: Hereditary iron overload with anemia","Category","Group of disorders",NA,NA
"1497","X-linked complicated corpus callosum dysgenesis","Clinical subtype","Subtype of disorder","Q04.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"140436","Primary intraosseous venous malformation","Disease","Disorder","D18.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"140450","OBSOLETE: Hereditary motor and sensory neuropathy","Category","Group of disorders",NA,NA
"140453","Autosomal dominant hereditary demyelinating motor and sensory neuropathy","Category","Group of disorders",NA,NA
"1493","Vici syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"140286","Secondary hypoparathyroidism due to impaired parathormon secretion","Disease","Disorder","E20.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1495","Intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"140428","OBSOLETE: Hereditary iron overload with neurologic manifestation","Category","Group of disorders",NA,NA
"140468","Autosomal recessive distal hereditary motor neuropathy","Category","Group of disorders",NA,NA
"1509","Coxopodopatellar syndrome","Disease","Disorder","Q74.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"140471","Hereditary sensory and autonomic neuropathy","Clinical group","Group of disorders",NA,NA
"1512","Crane-Heise syndrome","Malformation syndrome","Disorder","Q87.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"140474","Autosomal dominant hereditary sensory and autonomic neuropathy","Category","Group of disorders",NA,NA
"140477","Autosomal recessive hereditary sensory and autonomic neuropathy","Category","Group of disorders",NA,NA
"1506","Thin ribs-tubular bones-dysmorphism syndrome","Malformation syndrome","Disorder","Q87.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"140456","Autosomal dominant hereditary axonal motor and sensory neuropathy","Category","Group of disorders",NA,NA
"140459","Autosomal recessive hereditary demyelinating motor and sensory neuropathy","Category","Group of disorders",NA,NA
"140462","OBSOLETE: X-linked recessive hereditary axonal motor and sensory neuropathy","Category","Group of disorders",NA,NA
"1508","Coxoauricular syndrome","Malformation syndrome","Disorder","Q87.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"140465","Autosomal dominant distal hereditary motor neuropathy","Category","Group of disorders",NA,NA
"1507","Autosomal recessive Robinow syndrome","Clinical subtype","Subtype of disorder","Q87.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1517","Cantú syndrome","Malformation syndrome","Disorder","Q78.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"140503","OBSOLETE: Channelopathy","Category","Group of disorders",NA,NA
"1519","SPECC1L-related hypertelorism syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1520","Craniofrontonasal dysplasia","Malformation syndrome","Disorder","Q87.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1513","Craniodiaphyseal dysplasia","Malformation syndrome","Disorder","M85.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1514","Craniodigital-intellectual disability syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"140481","Autosomal dominant slowed nerve conduction velocity","Disease","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"140500","OBSOLETE: Neurological channelopathy","Category","Group of disorders",NA,NA
"1515","Cranioectodermal dysplasia","Malformation syndrome","Disorder","Q87.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1516","Non-syndromic bilambdoid and sagittal craniosynostosis","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1526","OBSOLETE: Craniosynostosis-synostoses-hypertensive nephropathy syndrome","Malformation syndrome","Disorder",NA,NA
"1527","Craniosynostosis, Philadelphia type","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"140653","Neuro-ophthalmological disease","Category","Group of disorders",NA,NA
"1528","Craniotelencephalic dysplasia","Malformation syndrome","Disorder","Q04.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1529","Craniofacial-deafness-hand syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1521","Craniofrontonasal dysplasia-Poland anomaly syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1522","Craniometaphyseal dysplasia","Malformation syndrome","Disorder","Q78.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1525","Cranio-osteoarthropathy","Malformation syndrome","Disorder","M89.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1969","Facial dysmorphism-anorexia-cachexia-eye and skin anomalies syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1968","Flat face-microstomia-ear anomaly syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1970","Facial dysmorphism-macrocephaly-myopia-Dandy-Walker malformation syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1973","Faciocardiorenal syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1972","Lethal faciocardiomelic dysplasia","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1974","Autosomal recessive faciodigitogenital syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1962","Exostoses-anetodermia-brachydactyly type E syndrome","Malformation syndrome","Disorder","Q87.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1964","Extrasystoles-short stature-hyperpigmentation-microcephaly syndrome","Malformation syndrome","Disorder","Q87.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1822","Dysplasia epiphysealis hemimelica","Malformation syndrome","Disorder","Q74.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1824","Lowry-Wood syndrome","Disease","Disorder","Q87.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1952","Epiphyseal stippling-osteoclastic hyperplasia syndrome","Malformation syndrome","Disorder","Q77.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1954","Congenital lethal erythroderma","Disease","Disorder","Q82.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1955","Spinocerebellar ataxia type 34","Disease","Disorder","G11.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1956","OBSOLETE: Erythromelalgia","Disease","Disorder",NA,NA
"1926","Diabetic embryopathy","Malformation syndrome","Disorder","P00.4","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"2209","Maternal phenylketonuria","Malformation syndrome","Disorder","E70.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1927","Emery-Nelson syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1937","Eng-Strom syndrome","Malformation syndrome","Disorder","Q87.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1940","Shoulder and thorax deformity-congenital heart disease syndrome","Malformation syndrome","Disorder",NA,NA
"1920","Toluene embryopathy","Malformation syndrome","Disorder","Q86.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1919","Phenobarbital embryopathy","Malformation syndrome","Disorder","Q86.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1917","Fetal methylmercury syndrome","Malformation syndrome","Disorder","T56.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1923","Methimazole embryofetopathy","Malformation syndrome","Disorder","Q86.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1912","Fetal hydantoin syndrome","Malformation syndrome","Disorder","Q86.1","E (Exact mapping: the two concepts are equivalent)"
"1918","Fetal minoxidil syndrome","Malformation syndrome","Disorder","Q86.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1911","Cocaine embryofetopathy","Malformation syndrome","Disorder","Q86.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1910","Fetal iodine syndrome","Malformation syndrome","Disorder","P72.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1916","Diethylstilbestrol syndrome","Malformation syndrome","Disorder","Q86.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"294","Fetal cytomegalovirus syndrome","Disease","Disorder","P35.1","E (Exact mapping: the two concepts are equivalent)"
"1914","Vitamin K antagonist embryofetopathy","Malformation syndrome","Disorder","Q86.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1913","Fetal trimethadione syndrome","Malformation syndrome","Disorder","Q86.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1896","EEC syndrome","Malformation syndrome","Disorder","Q82.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1897","EEM syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1908","Aminopterin/methotrexate embryofetopathy","Malformation syndrome","Disorder","Q86.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1909","Indomethacin embryofetopathy","Malformation syndrome","Disorder","Q86.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1906","Fetal valproate spectrum disorder","Malformation syndrome","Disorder","Q86.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1888","Ectrodactyly-ectodermal dysplasia without clefting syndrome","Malformation syndrome","Disorder",NA,NA
"1889","Ectrodactyly-cleft palate syndrome","Malformation syndrome","Disorder",NA,NA
"1895","Edinburgh malformation syndrome","Malformation syndrome","Disorder","Q95.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1891","Intellectual disability-spasticity-ectrodactyly syndrome","Malformation syndrome","Disorder","Q87.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1892","Ectrodactyly-polydactyly syndrome","Malformation syndrome","Disorder","Q69.9","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1816","Leukomelanoderma-infantilism-intellectual disability-hypodontia-hypotrichosis syndrome","Malformation syndrome","Disorder","Q82.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1807","Focal facial dermal dysplasia type III","Clinical subtype","Subtype of disorder","Q82.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1818","Ectodermal dysplasia, trichoodontoonychial type","Malformation syndrome","Disorder","Q82.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1883","Ectodermal dysplasia-sensorineural deafness syndrome","Malformation syndrome","Disorder","Q82.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1882","Hypohidrotic ectodermal dysplasia-hypothyroidism-ciliary dyskinesia syndrome","Malformation syndrome","Disorder","Q82.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1875","Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome","Disease","Disorder","G71.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1873","Jalili syndrome","Malformation syndrome","Disorder","H35.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1879","Melorheostosis with osteopoikilosis","Malformation syndrome","Disorder","M85.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1867","Hereditary bullous dystrophy, macular type","Disease","Disorder","Q81.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1872","Cone rod dystrophy","Disease","Disorder","H35.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1871","Progressive cone dystrophy","Disease","Disorder","H35.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1860","Thanatophoric dysplasia type 1","Clinical subtype","Subtype of disorder","Q77.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1861","Thoracic dysplasia-hydrocephalus syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1865","Dyssegmental dysplasia, Silverman-Handmaker type","Disease","Disorder","Q77.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1858","Skeletal dysplasia-epilepsy-short stature syndrome","Malformation syndrome","Disorder","Q87.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"254","Spondylometaphyseal dysplasia","Clinical group","Group of disorders",NA,NA
"1850","Renal dysplasia-megalocystis-sirenomelia syndrome","Malformation syndrome","Disorder",NA,NA
"1852","X-linked retinal dysplasia","Disease","Disorder","Q14.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1842","Bone dysplasia, lethal Holmgren type","Malformation syndrome","Disorder","Q77.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1839","Hereditary mucoepithelial dysplasia","Malformation syndrome","Disorder","K13.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1838","Metaphyseal dysplasia without hypotrichosis","Disease","Disorder",NA,NA
"1837","Metaphyseal chondrodysplasia, Rosenberg type","Disease","Disorder","Q78.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1836","Mesomelic dysplasia, Kantaputra type","Malformation syndrome","Disorder","Q78.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1834","Axial mesodermal dysplasia spectrum","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1831","De Hauwere syndrome","Malformation syndrome","Disorder",NA,NA
"1830","Schimke immuno-osseous dysplasia","Disease","Disorder","Q77.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1825","Epiphyseal dysplasia-hearing loss-dysmorphism syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"251","Multiple epiphyseal dysplasia","Clinical group","Group of disorders",NA,NA
"1823","OBSOLETE: Localized epiphyseal dysplasia","Malformation syndrome","Disorder",NA,NA
"1811","Odontomicronychial dysplasia","Malformation syndrome","Disorder","Q84.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1812","Ectodermal dysplasia-intellectual disability-central nervous system malformation syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1808","Hidrotic ectodermal dysplasia, Christianson-Fourie type","Malformation syndrome","Disorder","Q82.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1809","Hidrotic ectodermal dysplasia, Halal type","Malformation syndrome","Disorder","Q82.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1804","Dyssegmental dysplasia-glaucoma syndrome","Malformation syndrome","Disorder",NA,NA
"1806","Ectodermal dysplasia-blindness syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1802","Ghosal hematodiaphyseal dysplasia","Malformation syndrome","Disorder","Q78.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1803","Thoracomelic dysplasia","Disease","Disorder","Q77.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1800","OBSOLETE: Craniofaciocervical osteoglyphic dysplasia","Malformation syndrome","Disorder",NA,NA
"1801","Kyphomelic dysplasia","Malformation syndrome","Disorder","Q79.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1798","Craniofacial dysostosis-diaphyseal hyperplasia syndrome","Malformation syndrome","Disorder","Q78.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1799","Familial developmental dysphasia","Clinical syndrome","Disorder","F80.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1794","Oculomaxillofacial dysostosis","Malformation syndrome","Disorder","Q75.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2128","Isolated hemihyperplasia","Morphological anomaly","Disorder","Q87.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2129","OBSOLETE: Hemihypertrophy-intestinal web-corneal opacity syndrome","Malformation syndrome","Disorder",NA,NA
"2130","Non-syndromic hemimelia","Clinical group","Group of disorders",NA,NA
"2136","Hennekam syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2138","46,XX ovotesticular difference of sex development","Malformation syndrome","Disorder","Q56.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2139","Hernández-Aguirre Negrete syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2141","Diaphragmatic defect-limb deficiency-skull defect syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2143","Donnai-Barrow syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2145","Craniosynostosis, Herrmann-Opitz type","Malformation syndrome","Disorder","Q75.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2149","Nodular neuronal heterotopia","Morphological anomaly","Disorder","Q04.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2148","Lissencephaly type 1 due to doublecortin gene mutation","Disease","Disorder","Q04.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158048","Hemophagocytic syndrome associated with an infection","Particular clinical situation in a disease or syndrome","Disorder","D76.2","E (Exact mapping: the two concepts are equivalent)"
"158057","Acquired hemophagocytic lymphohistiocytosis associated with malignant disease","Particular clinical situation in a disease or syndrome","Disorder","D76.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2108","Hallermann-Streiff syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158061","Macrophage activation syndrome","Clinical syndrome","Disorder","D76.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2107","Hall-Riggs syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2110","Hallux varus-preaxial polysyndactyly syndrome","Malformation syndrome","Disorder","Q74.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2109","Hallermann-Streiff-like syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2112","OBSOLETE: Follicular hamartoma-alopecia-cystic fibrosis syndrome","Malformation syndrome","Disorder",NA,NA
"2111","Cystic hamartoma of lung and kidney","Disease","Disorder","Q85.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158124","Genetic dementia","Category","Group of disorders",NA,NA
"158266","Huntington disease-like syndrome","Clinical group","Group of disorders",NA,NA
"2115","Harrod syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158300","Rare genetic hematologic disease","Category","Group of disorders",NA,NA
"2114","Hip dysplasia, Beukes type","Disease","Disorder","Q65.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2994","Short stature-craniofacial anomalies-genital hypoplasia syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2117","Hartsfield syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2120","OBSOLETE: Heckenlively syndrome","Malformation syndrome","Disorder",NA,NA
"2119","HEC syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2124","Cavernous hemangiomas of face-supraumbilical midline raphe syndrome","Malformation syndrome","Disorder",NA,NA
"2123","Multifocal infantile hemangioma with extracutenous involvement","Malformation syndrome","Disorder","Q82.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157997","Benign cephalic histiocytosis","Disease","Disorder","D76.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2090","GMS syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157991","Generalized eruptive histiocytosis","Disease","Disorder","D76.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2091","Multinodular goiter-cystic kidney-polydactyly syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157987","Non-Langerhans cell histiocytosis","Clinical group","Group of disorders",NA,NA
"2087","Glomerulonephritis-sparse hair-telangiectasis syndrome","Malformation syndrome","Disorder",NA,NA
"158011","Necrobiotic xanthogranuloma","Disease","Disorder","D76.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158008","Papular xanthoma","Disease","Disorder","D76.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"376","Gordon syndrome","Malformation syndrome","Disorder","Q68.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158003","Xanthoma disseminatum","Disease","Disorder","D76.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2092","Focal dermal hypoplasia","Malformation syndrome","Disorder","Q82.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158000","Juvenile xanthogranuloma","Disease","Disorder","D76.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2098","Acromesomelic dysplasia, Grebe type","Malformation syndrome","Disorder","Q78.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158025","Hereditary progressive mucinous histiocytosis","Disease","Disorder","D76.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158022","Progressive nodular histiocytosis","Disease","Disorder","D76.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"380","Greig cephalopolysyndactyly syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2095","Gorlin-Chaudhry-Moss syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158019","Indeterminate cell histiocytosis","Disease","Disorder","D76.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158014","Rosaï-Dorfman disease","Disease","Disorder","D76.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2097","Grant syndrome","Malformation syndrome","Disorder","Q87.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158041","Secondary hemophagocytic lymphohistiocytosis","Category","Group of disorders",NA,NA
"2101","Grubben-de Cock-Borghgraef syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158038","Primary hemophagocytic lymphohistiocytosis","Clinical group","Group of disorders",NA,NA
"2104","Dysmorphism-pectus carinatum-joint laxity syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"158032","Hemophagocytic syndrome","Category","Group of disorders",NA,NA
"2099","OBSOLETE: Grix-Blankenship-Peterson syndrome","Malformation syndrome","Disorder",NA,NA
"158029","Sea-blue histiocytosis","Disease","Disorder","D76.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157843","Trigeminal autonomic cephalalgia","Clinical group","Group of disorders",NA,NA
"2069","Gastrocutaneous syndrome","Disease","Disorder","Q85.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157846","Neuroferritinopathy","Disease","Disorder","G23.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157832","Craniorhiny","Malformation syndrome","Disorder","Q30.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2067","GAPO syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157835","Paroxysmal hemicrania","Disease","Disorder","G44.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2065","Galloway-Mowat syndrome","Malformation syndrome","Disorder","Q04.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2075","Genitopalatocardiac syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157941","Huntington disease-like 1","Disease","Disorder","G10","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2074","Gemignani syndrome","Malformation syndrome","Disorder","G31.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157850","Pantothenate kinase-associated neurodegeneration","Disease","Disorder","G23.0","E (Exact mapping: the two concepts are equivalent)"
"2072","Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome","Clinical subtype","Subtype of disorder","E75.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157855","HARP syndrome","Clinical subtype","Subtype of disorder",NA,NA
"157954","ANE syndrome","Disease","Disorder","E23.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157962","Oculoauricular syndrome, Schorderet type","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157946","Huntington disease-like 3","Disease","Disorder","G10","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2078","Geroderma osteodysplastica","Malformation syndrome","Disorder","Q82.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157949","Combined immunodeficiency with granulomatosis","Disease","Disorder","D81.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2077","German syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157973","Congenital muscular dystrophy due to LMNA mutation","Disease","Disorder","G71.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2085","Glaucoma-sleep apnea syndrome","Disease","Disorder","H40.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"157980","NON RARE IN EUROPE: Bladder cancer","Disease","Disorder",NA,NA
